threshold,precision,recall,f1,fpr,pr_auc,roc_auc,tn,fp,fn,tp,held_out_dataset,status,n_windows,positive_rate
0.5,0.4075829383886256,0.9803108808290155,0.5757760194765672,0.902230971128609,0.46050240961825956,0.6185824731753091,149,1375,19,946,NTHU,OK,2489,0.3877059059863399
0.5,0.48104451785433383,0.6139945788575444,0.5394487320837927,0.6028323435358611,0.48937607419901097,0.5091880306700013,4347,6598,3845,6116,SUST,OK,20906,0.47646608629101694
0.5,0.688185707629093,0.6681197565389044,0.678004298562277,0.31921075455333914,0.7341122115604848,0.7129521621360956,15699,7361,8070,16246,UTA,OK,47376,0.5132556568726782
