feature_count,trial,objective,macro_pr_auc,worst_dataset_pr_auc,constraints_met,params
40,0,0.7652752859002139,0.6529030543619879,0.5618611576911295,False,"{""colsample_bytree"": 0.662397808134481, ""learning_rate"": 0.028078987855609694, ""max_depth"": 6, ""min_child_samples"": 124, ""num_leaves"": 30, ""reg_alpha"": 0.001592075878523403, ""reg_lambda"": 1.599409170128044, ""subsample"": 0.7046065241548528}"
40,1,0.7351532595706305,0.6245917426586503,0.5528075845599009,False,"{""colsample_bytree"": 0.6849356442713105, ""learning_rate"": 0.041029961356831984, ""max_depth"": 3, ""min_child_samples"": 176, ""num_leaves"": 24, ""reg_alpha"": 0.004287730278993503, ""reg_lambda"": 0.004768785415482609, ""subsample"": 0.9413549242801476}"
40,2,0.7808764767742296,0.6615681719529961,0.5965415241061675,False,"{""colsample_bytree"": 0.6557975442608167, ""learning_rate"": 0.02496174732136705, ""max_depth"": 5, ""min_child_samples"": 81, ""num_leaves"": 20, ""reg_alpha"": 0.01037104137505588, ""reg_lambda"": 0.022654864504851786, ""subsample"": 0.8641485131528328}"
40,3,0.7421534515315696,0.6332338353946902,0.5445980806843969,False,"{""colsample_bytree"": 0.6185801650879991, ""learning_rate"": 0.03218500325829219, ""max_depth"": 3, ""min_child_samples"": 112, ""num_leaves"": 26, ""reg_alpha"": 0.12957079329680446, ""reg_lambda"": 0.0042733023193754, ""subsample"": 0.8573450991017149}"
40,4,0.755720705089941,0.6370039720727335,0.5935836650860374,False,"{""colsample_bytree"": 0.6390688456025535, ""learning_rate"": 0.016725676183869564, ""max_depth"": 7, ""min_child_samples"": 153, ""num_leaves"": 30, ""reg_alpha"": 0.2394204262539026, ""reg_lambda"": 0.042472797953697176, ""subsample"": 0.7566148192106797}"
40,5,0.7060445011075132,0.6030217991160435,0.5151135099573483,False,"{""colsample_bytree"": 0.8650089137415928, ""learning_rate"": 0.018399791448444815, ""max_depth"": 3, ""min_child_samples"": 168, ""num_leaves"": 19, ""reg_alpha"": 0.01212989965042508, ""reg_lambda"": 0.08389112347840598, ""subsample"": 0.7405729935600059}"
40,6,0.7220163109591473,0.6158797051652853,0.5306830289693099,False,"{""colsample_bytree"": 0.9579309401710595, ""learning_rate"": 0.037458375308811985, ""max_depth"": 7, ""min_child_samples"": 149, ""num_leaves"": 11, ""reg_alpha"": 0.1199418448486867, ""reg_lambda"": 2.570307853015558, ""subsample"": 0.9788246295474662}"
40,7,0.7363884219023572,0.6259031113262769,0.5524265528804015,False,"{""colsample_bytree"": 0.7085396127095583, ""learning_rate"": 0.017395030536618977, ""max_depth"": 3, ""min_child_samples"": 85, ""num_leaves"": 11, ""reg_alpha"": 0.7614139119869378, ""reg_lambda"": 0.020874681332882276, ""subsample"": 0.7860370513913187}"
40,8,0.7504514533920152,0.6375895900928245,0.5643093164959541,False,"{""colsample_bytree"": 0.9947547746402069, ""learning_rate"": 0.024006579766130246, ""max_depth"": 3, ""min_child_samples"": 153, ""num_leaves"": 20, ""reg_alpha"": 0.48438278642785687, ""reg_lambda"": 0.005433045540798127, ""subsample"": 0.6760927252879199}"
40,9,0.7815343574320008,0.6631714016138058,0.5918147790909751,False,"{""colsample_bytree"": 0.6296178606936361, ""learning_rate"": 0.015139301260026163, ""max_depth"": 6, ""min_child_samples"": 142, ""num_leaves"": 27, ""reg_alpha"": 0.017637166053890756, ""reg_lambda"": 0.002682848665467022, ""subsample"": 0.919944621340081}"
40,10,0.7155365175625152,0.6137037000449753,0.5091640875876994,False,"{""colsample_bytree"": 0.7677112448992839, ""learning_rate"": 0.06528603646600098, ""max_depth"": 5, ""min_child_samples"": 42, ""num_leaves"": 7, ""reg_alpha"": 2.173898487517773, ""reg_lambda"": 0.001099288731283068, ""subsample"": 0.9139483560616459}"
40,11,0.7787468933464472,0.6577914918953398,0.6047770072555367,False,"{""colsample_bytree"": 0.7595810005862156, ""learning_rate"": 0.022597120111302407, ""max_depth"": 5, ""min_child_samples"": 78, ""num_leaves"": 19, ""reg_alpha"": 0.02163260115755362, ""reg_lambda"": 0.19572102085622706, ""subsample"": 0.8551475428412287}"
40,12,0.7605303424425662,0.6487832484722605,0.5587354698515286,False,"{""colsample_bytree"": 0.6034166825746311, ""learning_rate"": 0.051327489387445656, ""max_depth"": 6, ""min_child_samples"": 81, ""num_leaves"": 24, ""reg_alpha"": 0.028081454769189936, ""reg_lambda"": 0.01777667565733556, ""subsample"": 0.8976658207689717}"
