threshold,precision,recall,f1,fpr,pr_auc,roc_auc,tn,fp,fn,tp,dataset_name,n_windows,positive_rate
0.372,0.43661971830985913,0.38509316770186336,0.40924092409240925,0.34782608695652173,0.4452387788805585,0.4574939238455306,150,80,99,62,NTHU,391,0.4117647058823529
0.372,0.5795076513639388,0.7004422999597909,0.634261787729838,0.44680098974902793,0.65057023085952,0.684885405522645,1565,1264,745,1742,SUST,5316,0.46783295711060946
0.372,0.594406779661017,0.7071990320629159,0.6459158301869417,0.4669268292682927,0.7143463159381246,0.6820105548423905,2732,2393,1452,3507,UTA,10084,0.4917691392304641
