threshold,precision,recall,f1,fpr,pr_auc,roc_auc,tn,fp,fn,tp
0.028,0.4980708622468448,1.0,0.6649496693365031,0.999605955698162,0.7502665190436053,0.7349163480225073,14,35515,0,35242
0.029,0.49809198066540405,1.0,0.6649684893769576,0.9995215176334825,0.7502665190436053,0.7349163480225073,17,35512,0,35242
0.03,0.4981131008748993,1.0,0.6649873104827677,0.9994370795688029,0.7502665190436053,0.7349163480225073,20,35509,0,35242
0.031,0.4982046424835308,1.0,0.6650688809209285,0.9990711812885249,0.7502665190436053,0.7349163480225073,33,35496,0,35242
0.032,0.4982891722987303,1.0,0.6651441944738034,0.9987334290298067,0.7502665190436053,0.7349163480225073,45,35484,0,35242
0.033,0.4983878266772259,1.0,0.6652320818468392,0.9983393847279687,0.7502665190436053,0.7349163480225073,59,35470,0,35242
0.034,0.4984794692994243,1.0,0.6653137123493266,0.9979734864476906,0.7502665190436053,0.7349163480225073,72,35457,0,35242
0.035,0.49859230649519687,1.0,0.6654142081661553,0.997523150102733,0.7502665190436053,0.7349163480225073,88,35441,0,35242
0.036000000000000004,0.4986840243384746,1.0,0.6654958833748772,0.9971572518224548,0.7502665190436053,0.7349163480225073,101,35428,0,35242
0.037,0.49878989455806383,1.0,0.6655901489182885,0.9967350614990571,0.7502665190436053,0.7349163480225073,116,35413,0,35242
0.038,0.4989240613851294,1.0,0.6657095902831561,0.9962002870894199,0.7502665190436053,0.7349163480225073,135,35394,0,35242
0.039,0.4990017699115044,1.0,0.6657787601424429,0.9958906808522615,0.7502665190436053,0.7349163480225073,146,35383,0,35242
0.04,0.4991077751026767,1.0,0.6658731058458981,0.9954684905288638,0.7502665190436053,0.7349163480225073,161,35368,0,35242
0.041,0.4991855408716837,1.0,0.6659423096909515,0.9951588842917054,0.7502665190436053,0.7349163480225073,172,35357,0,35242
0.042,0.4993765232670181,1.0,0.6661122346759408,0.9943989417095893,0.7502665190436053,0.7349163480225073,199,35330,0,35242
0.043000000000000003,0.49949684643186165,1.0,0.6662192689773812,0.9939204593430718,0.7502665190436053,0.7349163480225073,216,35313,0,35242
0.044,0.4997164085984913,1.0,0.6664145377531532,0.9930479326747165,0.7502665190436053,0.7349163480225073,247,35282,0,35242
0.045,0.4997872762855603,1.0,0.6664775521010629,0.9927664724591179,0.7502665190436053,0.7349163480225073,257,35272,0,35242
0.046,0.4999219802822895,1.0,0.6665973121991355,0.9922316980494807,0.7502665190436053,0.7349163480225073,276,35253,0,35242
0.047,0.5000638524299397,1.0,0.6667234219661927,0.9916687776182836,0.7502665190436053,0.7349163480225073,296,35233,0,35242
0.048,0.5001703093954016,1.0,0.6668180356095439,0.9912465872948859,0.7502665190436053,0.7349163480225073,311,35218,0,35242
0.049,0.500312322544009,1.0,0.6669442289131545,0.9906836668636888,0.7502665190436053,0.7349163480225073,331,35198,0,35242
0.05,0.5003691503861881,1.0,0.6669947196093647,0.9904584986912099,0.7502665190436053,0.7349163480225073,339,35190,0,35242
0.051000000000000004,0.5004828448079982,1.0,0.667095723939503,0.9900081623462523,0.7502665190436053,0.7349163480225073,355,35174,0,35242
0.052000000000000005,0.5005681495369582,1.0,0.6671714972644491,0.9896704100875341,0.7502665190436053,0.7349163480225073,367,35162,0,35242
0.053,0.5006819344206399,1.0,0.6672725551453186,0.9892200737425765,0.7502665190436053,0.7349163480225073,383,35146,0,35242
0.054,0.5007815386364283,1.0,0.6673610059081958,0.9888260294407385,0.7502665190436053,0.7349163480225073,397,35132,0,35242
0.055,0.5008954205634043,1.0,0.6674621212121211,0.9883756930957809,0.7502665190436053,0.7349163480225073,413,35116,0,35242
0.056,0.5010307226431994,1.0,0.6675822354400887,0.9878409186861438,0.7502665190436053,0.7349163480225073,432,35097,0,35242
0.057,0.501116246000711,0.9999716247659043,0.6676518230128733,0.9874750204058657,0.7502665190436053,0.7349163480225073,445,35084,1,35241
0.058,0.5011875133328593,0.9999716247659043,0.6677150733726802,0.9871935601902672,0.7502665190436053,0.7349163480225073,455,35074,1,35241
0.059000000000000004,0.5013372407317837,0.9999716247659043,0.6678479381443297,0.9866024937375102,0.7502665190436053,0.7349163480225073,476,35053,1,35241
0.06,0.5014300146558716,0.9999432495318087,0.6679239203570853,0.9862084494356723,0.7502665190436053,0.7349163480225073,490,35039,2,35240
0.061,0.5015370602299898,0.9999432495318087,0.6680188804428184,0.9857862591122745,0.7502665190436053,0.7349163480225073,505,35024,2,35240
0.062,0.5016299164400917,0.999914874297713,0.6680949085703994,0.9853922148104366,0.7502665190436053,0.7349163480225073,519,35010,3,35239
0.063,0.501729956003588,0.9998864990636173,0.6681772931974401,0.9849700244870387,0.7502665190436053,0.7349163480225073,534,34995,4,35238
0.064,0.5017658283728746,0.9998013733613302,0.6681900933019799,0.98474485631456,0.7502665190436053,0.7349163480225073,542,34987,7,35235
0.065,0.5018229982624548,0.9998013733613302,0.6682407828857533,0.9845196881420811,0.7502665190436053,0.7349163480225073,550,34979,7,35235
0.066,0.5018730859625383,0.9997729981272345,0.6682788509867517,0.9842945199696023,0.7502665190436053,0.7349163480225073,558,34971,8,35234
0.067,0.5019660360155004,0.9997729981272345,0.6683612496917503,0.9839286216893243,0.7502665190436053,0.7349163480225073,571,34958,8,35234
0.068,0.5020376756248397,0.9997162476590432,0.6684120660216277,0.983590869430606,0.7502665190436053,0.7349163480225073,583,34946,10,35232
0.069,0.5020952109464082,0.9995743714885648,0.6684313390637748,0.9832249711503279,0.7502665190436053,0.7349163480225073,596,34933,15,35227
0.07,0.5021596886627037,0.999545996254469,0.6684821284549914,0.9829435109347294,0.7502665190436053,0.7349163480225073,606,34923,16,35226
0.07100000000000001,0.5022457331070965,0.9994892457862777,0.6685456702253855,0.9825494666328914,0.7502665190436053,0.7349163480225073,620,34909,18,35224
0.07200000000000001,0.5023030959884774,0.999460870552182,0.6685901390404785,0.9822961524388528,0.7502665190436053,0.7349163480225073,629,34900,19,35223
0.073,0.5023390478363807,0.9994041200839907,0.6686092866092106,0.9820991302879338,0.7502665190436053,0.7349163480225073,636,34893,21,35221
0.074,0.5023965763195435,0.9993189943817037,0.668641187750375,0.9817895240507755,0.7502665190436053,0.7349163480225073,647,34882,24,35218
0.075,0.502397055046657,0.9991203677430339,0.6685971441591979,0.9815925018998565,0.7502665190436053,0.7349163480225073,654,34875,31,35211
0.076,0.5024118050005708,0.9989501163384598,0.6685720796855118,0.9813673337273776,0.7502665190436053,0.7349163480225073,662,34867,37,35205
0.077,0.5024550385383957,0.9988649906361727,0.6685912898140587,0.981114019533339,0.7502665190436053,0.7349163480225073,671,34858,40,35202
0.078,0.5025196648060644,0.998836615402077,0.6686421441528716,0.9808325593177404,0.7502665190436053,0.7349163480225073,681,34848,41,35201
0.079,0.5025987377559471,0.9987798649338857,0.6686994186709221,0.9804666610374624,0.7502665190436053,0.7349163480225073,694,34835,43,35199
0.08,0.5026491295717121,0.9987231144656944,0.6687312972022988,0.9802133468434236,0.7502665190436053,0.7349163480225073,703,34826,45,35197
0.081,0.5027067948406634,0.9986379887634073,0.6687632421544689,0.9799037406062653,0.7502665190436053,0.7349163480225073,714,34815,48,35194
0.082,0.5027644831773698,0.9985528630611202,0.668795195606108,0.9795941343691069,0.7502665190436053,0.7349163480225073,725,34804,51,35191
0.083,0.502822194595676,0.9984677373588332,0.6688271575606095,0.9792845281319486,0.7502665190436053,0.7349163480225073,736,34793,54,35188
0.084,0.5028370517529692,0.9982974859542592,0.6688020986797707,0.9790593599594697,0.7502665190436053,0.7349163480225073,744,34785,60,35182
0.085,0.5028733167510078,0.9981839850178764,0.6688086999505685,0.9788060457654311,0.7502665190436053,0.7349163480225073,753,34776,64,35178
0.08600000000000001,0.5029241438478588,0.9980137336133023,0.6688154254257109,0.978440147485153,0.7502665190436053,0.7349163480225073,766,34763,70,35172
0.08700000000000001,0.5029964100290344,0.9979002326769196,0.6688538308656415,0.9780461031833151,0.7502665190436053,0.7349163480225073,780,34749,74,35168
