threshold,precision,recall,f1,fpr,pr_auc,roc_auc,tn,fp,fn,tp,dataset_name,n_windows,positive_rate
0.372,0.45293168370091447,0.8725388601036269,0.5963172804532578,0.6673228346456693,0.6366664210793541,0.7161131736771246,507,1017,123,842,NTHU,2489,0.3877059059863399
0.372,0.6189840511487389,0.8844493524746512,0.7282797387782095,0.49547738693467336,0.788237412189298,0.8081465178792998,5522,5423,1151,8810,SUST,20906,0.47646608629101694
0.372,0.5810587026039288,0.8369386412238855,0.6859116953151332,0.6362966175195143,0.7453073140759476,0.7058716367053227,8387,14673,3965,20351,UTA,47376,0.5132556568726782
