stage,feature_count,macro_pr_auc,worst_dataset_pr_auc,precision,recall,f1,constraints_met,seed
A,40,0.6427812553878278,0.5930965477779155,0.4980776841748177,0.9998864990636173,0.6649306538352675,False,
A,65,0.6350935556086181,0.5727948702051676,0.5377563411839157,0.8921457352023154,0.6710347992188583,False,
A,20,0.6213478560431395,0.5318223420114854,0.49797233330036317,1.0,0.6648618565647609,False,
A,7,0.6046662449471251,0.5397762142695571,0.5168116478499599,0.9507973440780887,0.6696376826075661,False,
B,40,0.6631983758192879,0.6023506727986903,,,,False,
B,65,0.6859090736670136,0.6575530019602911,,,,False,
C,65,0.6859040763932761,0.6575530019602911,0.5484805917601664,0.875262470915385,0.6743695412162088,False,42.0
C,65,0.7159749839205655,0.6473381052135484,0.5464315283987415,0.9363543499233868,0.6901246444704702,False,43.0
C,65,0.6496285985951381,0.4547042815844136,0.556425535007085,0.8691050451166222,0.6784733297891192,False,44.0
