threshold,precision,recall,f1,fpr,pr_auc,roc_auc,tn,fp,fn,tp,dataset_name,n_windows,positive_rate
0.221,0.39281339322172315,0.9968911917098445,0.5635618043350908,0.9757217847769029,0.47293260990019026,0.5842176301796473,37,1487,3,962,NTHU,2489,0.3877059059863399
0.221,0.496,0.8051948051948052,0.6138613861386139,0.84,0.8016011002068286,0.7061471861471862,12,63,15,62,SUST,152,0.506578947368421
0.221,0.6097025171624714,0.8840079628400797,0.7216684723726977,0.5841896150157556,0.8038598051912049,0.7768962815260528,3035,4264,874,6661,UTA,14834,0.5079546986652286
