threshold,precision,recall,f1,fpr,pr_auc,roc_auc,tn,fp,fn,tp
0.0,0.49081545064377685,1.0,0.6584523261169968,1.0,0.7775718365666853,0.7532717644896667,0,8898,0,8577
0.001,0.49081545064377685,1.0,0.6584523261169968,1.0,0.7775718365666853,0.7532717644896667,0,8898,0,8577
0.002,0.49081545064377685,1.0,0.6584523261169968,1.0,0.7775718365666853,0.7532717644896667,0,8898,0,8577
0.003,0.49081545064377685,1.0,0.6584523261169968,1.0,0.7775718365666853,0.7532717644896667,0,8898,0,8577
0.004,0.49081545064377685,1.0,0.6584523261169968,1.0,0.7775718365666853,0.7532717644896667,0,8898,0,8577
0.005,0.49081545064377685,1.0,0.6584523261169968,1.0,0.7775718365666853,0.7532717644896667,0,8898,0,8577
0.006,0.49081545064377685,1.0,0.6584523261169968,1.0,0.7775718365666853,0.7532717644896667,0,8898,0,8577
0.007,0.49081545064377685,1.0,0.6584523261169968,1.0,0.7775718365666853,0.7532717644896667,0,8898,0,8577
0.008,0.49081545064377685,1.0,0.6584523261169968,1.0,0.7775718365666853,0.7532717644896667,0,8898,0,8577
0.009000000000000001,0.49081545064377685,1.0,0.6584523261169968,1.0,0.7775718365666853,0.7532717644896667,0,8898,0,8577
0.01,0.49081545064377685,1.0,0.6584523261169968,1.0,0.7775718365666853,0.7532717644896667,0,8898,0,8577
0.011,0.49081545064377685,1.0,0.6584523261169968,1.0,0.7775718365666853,0.7532717644896667,0,8898,0,8577
0.012,0.49081545064377685,1.0,0.6584523261169968,1.0,0.7775718365666853,0.7532717644896667,0,8898,0,8577
0.013000000000000001,0.49081545064377685,1.0,0.6584523261169968,1.0,0.7775718365666853,0.7532717644896667,0,8898,0,8577
0.014,0.49081545064377685,1.0,0.6584523261169968,1.0,0.7775718365666853,0.7532717644896667,0,8898,0,8577
0.015,0.49081545064377685,1.0,0.6584523261169968,1.0,0.7775718365666853,0.7532717644896667,0,8898,0,8577
0.016,0.49081545064377685,1.0,0.6584523261169968,1.0,0.7775718365666853,0.7532717644896667,0,8898,0,8577
0.017,0.49081545064377685,1.0,0.6584523261169968,1.0,0.7775718365666853,0.7532717644896667,0,8898,0,8577
0.018000000000000002,0.49081545064377685,1.0,0.6584523261169968,1.0,0.7775718365666853,0.7532717644896667,0,8898,0,8577
0.019,0.49081545064377685,1.0,0.6584523261169968,1.0,0.7775718365666853,0.7532717644896667,0,8898,0,8577
0.02,0.49081545064377685,1.0,0.6584523261169968,1.0,0.7775718365666853,0.7532717644896667,0,8898,0,8577
0.021,0.49081545064377685,1.0,0.6584523261169968,1.0,0.7775718365666853,0.7532717644896667,0,8898,0,8577
0.022,0.49081545064377685,1.0,0.6584523261169968,1.0,0.7775718365666853,0.7532717644896667,0,8898,0,8577
0.023,0.49081545064377685,1.0,0.6584523261169968,1.0,0.7775718365666853,0.7532717644896667,0,8898,0,8577
0.024,0.49081545064377685,1.0,0.6584523261169968,1.0,0.7775718365666853,0.7532717644896667,0,8898,0,8577
0.025,0.49081545064377685,1.0,0.6584523261169968,1.0,0.7775718365666853,0.7532717644896667,0,8898,0,8577
0.026000000000000002,0.49081545064377685,1.0,0.6584523261169968,1.0,0.7775718365666853,0.7532717644896667,0,8898,0,8577
0.027,0.49081545064377685,1.0,0.6584523261169968,1.0,0.7775718365666853,0.7532717644896667,0,8898,0,8577
0.028,0.49081545064377685,1.0,0.6584523261169968,1.0,0.7775718365666853,0.7532717644896667,0,8898,0,8577
0.029,0.49081545064377685,1.0,0.6584523261169968,1.0,0.7775718365666853,0.7532717644896667,0,8898,0,8577
0.03,0.49081545064377685,1.0,0.6584523261169968,1.0,0.7775718365666853,0.7532717644896667,0,8898,0,8577
0.031,0.49081545064377685,1.0,0.6584523261169968,1.0,0.7775718365666853,0.7532717644896667,0,8898,0,8577
0.032,0.49081545064377685,1.0,0.6584523261169968,1.0,0.7775718365666853,0.7532717644896667,0,8898,0,8577
0.033,0.49081545064377685,1.0,0.6584523261169968,1.0,0.7775718365666853,0.7532717644896667,0,8898,0,8577
0.034,0.49081545064377685,1.0,0.6584523261169968,1.0,0.7775718365666853,0.7532717644896667,0,8898,0,8577
0.035,0.49081545064377685,1.0,0.6584523261169968,1.0,0.7775718365666853,0.7532717644896667,0,8898,0,8577
0.036000000000000004,0.49081545064377685,1.0,0.6584523261169968,1.0,0.7775718365666853,0.7532717644896667,0,8898,0,8577
0.037,0.49081545064377685,1.0,0.6584523261169968,1.0,0.7775718365666853,0.7532717644896667,0,8898,0,8577
0.038,0.49081545064377685,1.0,0.6584523261169968,1.0,0.7775718365666853,0.7532717644896667,0,8898,0,8577
0.039,0.49081545064377685,1.0,0.6584523261169968,1.0,0.7775718365666853,0.7532717644896667,0,8898,0,8577
0.04,0.49081545064377685,1.0,0.6584523261169968,1.0,0.7775718365666853,0.7532717644896667,0,8898,0,8577
0.041,0.49081545064377685,1.0,0.6584523261169968,1.0,0.7775718365666853,0.7532717644896667,0,8898,0,8577
0.042,0.49081545064377685,1.0,0.6584523261169968,1.0,0.7775718365666853,0.7532717644896667,0,8898,0,8577
0.043000000000000003,0.49081545064377685,1.0,0.6584523261169968,1.0,0.7775718365666853,0.7532717644896667,0,8898,0,8577
0.044,0.49081545064377685,1.0,0.6584523261169968,1.0,0.7775718365666853,0.7532717644896667,0,8898,0,8577
0.045,0.49081545064377685,1.0,0.6584523261169968,1.0,0.7775718365666853,0.7532717644896667,0,8898,0,8577
0.046,0.49081545064377685,1.0,0.6584523261169968,1.0,0.7775718365666853,0.7532717644896667,0,8898,0,8577
0.047,0.49081545064377685,1.0,0.6584523261169968,1.0,0.7775718365666853,0.7532717644896667,0,8898,0,8577
0.048,0.49081545064377685,1.0,0.6584523261169968,1.0,0.7775718365666853,0.7532717644896667,0,8898,0,8577
0.049,0.49081545064377685,1.0,0.6584523261169968,1.0,0.7775718365666853,0.7532717644896667,0,8898,0,8577
0.05,0.49081545064377685,1.0,0.6584523261169968,1.0,0.7775718365666853,0.7532717644896667,0,8898,0,8577
0.051000000000000004,0.49081545064377685,1.0,0.6584523261169968,1.0,0.7775718365666853,0.7532717644896667,0,8898,0,8577
0.052000000000000005,0.49081545064377685,1.0,0.6584523261169968,1.0,0.7775718365666853,0.7532717644896667,0,8898,0,8577
0.053,0.49081545064377685,1.0,0.6584523261169968,1.0,0.7775718365666853,0.7532717644896667,0,8898,0,8577
0.054,0.49081545064377685,1.0,0.6584523261169968,1.0,0.7775718365666853,0.7532717644896667,0,8898,0,8577
0.055,0.49081545064377685,1.0,0.6584523261169968,1.0,0.7775718365666853,0.7532717644896667,0,8898,0,8577
0.056,0.49081545064377685,1.0,0.6584523261169968,1.0,0.7775718365666853,0.7532717644896667,0,8898,0,8577
0.057,0.49081545064377685,1.0,0.6584523261169968,1.0,0.7775718365666853,0.7532717644896667,0,8898,0,8577
0.058,0.49081545064377685,1.0,0.6584523261169968,1.0,0.7775718365666853,0.7532717644896667,0,8898,0,8577
0.059000000000000004,0.49081545064377685,1.0,0.6584523261169968,1.0,0.7775718365666853,0.7532717644896667,0,8898,0,8577
0.06,0.49081545064377685,1.0,0.6584523261169968,1.0,0.7775718365666853,0.7532717644896667,0,8898,0,8577
0.061,0.49081545064377685,1.0,0.6584523261169968,1.0,0.7775718365666853,0.7532717644896667,0,8898,0,8577
0.062,0.49081545064377685,1.0,0.6584523261169968,1.0,0.7775718365666853,0.7532717644896667,0,8898,0,8577
0.063,0.49081545064377685,1.0,0.6584523261169968,1.0,0.7775718365666853,0.7532717644896667,0,8898,0,8577
0.064,0.49081545064377685,1.0,0.6584523261169968,1.0,0.7775718365666853,0.7532717644896667,0,8898,0,8577
0.065,0.49081545064377685,1.0,0.6584523261169968,1.0,0.7775718365666853,0.7532717644896667,0,8898,0,8577
0.066,0.49081545064377685,1.0,0.6584523261169968,1.0,0.7775718365666853,0.7532717644896667,0,8898,0,8577
0.067,0.49081545064377685,1.0,0.6584523261169968,1.0,0.7775718365666853,0.7532717644896667,0,8898,0,8577
0.068,0.49081545064377685,1.0,0.6584523261169968,1.0,0.7775718365666853,0.7532717644896667,0,8898,0,8577
0.069,0.49081545064377685,1.0,0.6584523261169968,1.0,0.7775718365666853,0.7532717644896667,0,8898,0,8577
0.07,0.49081545064377685,1.0,0.6584523261169968,1.0,0.7775718365666853,0.7532717644896667,0,8898,0,8577
0.07100000000000001,0.49081545064377685,1.0,0.6584523261169968,1.0,0.7775718365666853,0.7532717644896667,0,8898,0,8577
0.07200000000000001,0.49081545064377685,1.0,0.6584523261169968,1.0,0.7775718365666853,0.7532717644896667,0,8898,0,8577
0.073,0.49081545064377685,1.0,0.6584523261169968,1.0,0.7775718365666853,0.7532717644896667,0,8898,0,8577
0.074,0.49084353897218724,1.0,0.6584776016275766,0.9998876151944257,0.7775718365666853,0.7532717644896667,1,8897,0,8577
0.075,0.49087163051565275,1.0,0.6585028790786948,0.9997752303888514,0.7775718365666853,0.7532717644896667,2,8896,0,8577
0.076,0.49087163051565275,1.0,0.6585028790786948,0.9997752303888514,0.7775718365666853,0.7532717644896667,2,8896,0,8577
0.077,0.49087163051565275,1.0,0.6585028790786948,0.9997752303888514,0.7775718365666853,0.7532717644896667,2,8896,0,8577
0.078,0.49087163051565275,1.0,0.6585028790786948,0.9997752303888514,0.7775718365666853,0.7532717644896667,2,8896,0,8577
